status url redirect,status,url,redirect,suggested
Redirected http://badc.nerc.ac.uk/data/cryostat/ https://catalogue.ceda.ac.uk/uuid/ec33852e9c9e7a8b09ec7d638fec2668,Redirected,http://badc.nerc.ac.uk/data/cryostat/,https://catalogue.ceda.ac.uk/uuid/ec33852e9c9e7a8b09ec7d638fec2668,
Redirected http://badc.nerc.ac.uk/data/mst/ https://catalogue.ceda.ac.uk/uuid/bd095d86e4a9f0c706b08058dbad3b31,Redirected,http://badc.nerc.ac.uk/data/mst/,https://catalogue.ceda.ac.uk/uuid/bd095d86e4a9f0c706b08058dbad3b31,
Redirected http://badc.nerc.ac.uk/data/rapid/ https://catalogue.ceda.ac.uk/uuid/45c07d898be045cfbc5e0ec2076e3ada,Redirected,http://badc.nerc.ac.uk/data/rapid/,https://catalogue.ceda.ac.uk/uuid/45c07d898be045cfbc5e0ec2076e3ada,
Redirected http://badc.nerc.ac.uk/view/badc.nerc.ac.uk__ATOM__dataent_MRF https://catalogue.ceda.ac.uk/uuid/605b99a139b1162de6a1096a11b0a8b4,Redirected,http://badc.nerc.ac.uk/view/badc.nerc.ac.uk__ATOM__dataent_MRF,https://catalogue.ceda.ac.uk/uuid/605b99a139b1162de6a1096a11b0a8b4,
Redirected http://catalogue.ceda.ac.uk/search?return_obj=by_search_obj&search_term=acsoe&search_obj=coll https://catalogue.ceda.ac.uk/?record_types=ObservationCollection&record_types=Observation&q=acsoe,Redirected,http://catalogue.ceda.ac.uk/search?return_obj=by_search_obj&search_term=acsoe&search_obj=coll,https://catalogue.ceda.ac.uk/?record_types=ObservationCollection&record_types=Observation&q=acsoe,
Redirected http://catalogue.ceda.ac.uk/uuid/251474c7b09449d8b9e7aeaf1461858f https://catalogue.ceda.ac.uk/uuid/251474c7b09449d8b9e7aeaf1461858f,Redirected,http://catalogue.ceda.ac.uk/uuid/251474c7b09449d8b9e7aeaf1461858f,https://catalogue.ceda.ac.uk/uuid/251474c7b09449d8b9e7aeaf1461858f,
Redirected http://catalogue.ceda.ac.uk/uuid/510b22c6d12e4635b604c172b583167e https://catalogue.ceda.ac.uk/uuid/510b22c6d12e4635b604c172b583167e,Redirected,http://catalogue.ceda.ac.uk/uuid/510b22c6d12e4635b604c172b583167e,https://catalogue.ceda.ac.uk/uuid/510b22c6d12e4635b604c172b583167e,
Redirected http://catalogue.ceda.ac.uk/uuid/f34f97696cd94946b6ace2e8738df805 https://catalogue.ceda.ac.uk/uuid/f34f97696cd94946b6ace2e8738df805,Redirected,http://catalogue.ceda.ac.uk/uuid/f34f97696cd94946b6ace2e8738df805,https://catalogue.ceda.ac.uk/uuid/f34f97696cd94946b6ace2e8738df805,
Redirected http://cedadocs.badc.rl.ac.uk/1259/ http://cedadocs.ceda.ac.uk/1259/,Redirected,http://cedadocs.badc.rl.ac.uk/1259/,http://cedadocs.ceda.ac.uk/1259/,https://amof.ac.uk/observatory/capel-dewi-atmospheric-observatory-cdao/
Redirected http://cloud1.arc.nasa.gov/aaoe/project/overview.html https://cloud1.arc.nasa.gov/aaoe/project/overview.html,Redirected,http://cloud1.arc.nasa.gov/aaoe/project/overview.html,https://cloud1.arc.nasa.gov/aaoe/project/overview.html,
